title,company,location,posted_before,application_number,detail,description,url
Servitör,Prime consulting sweden,"Malmo, Skåne County, Sweden",Reposted 2 days ago,36 applicants,"On-site
Skills: 英语, teamwork, +8 more","About the job
Jobba extra inom bemanning – flexibelt, varierat och perfekt vid sidan av studier eller deltidsjobb!

Är du en flexibel person som gillar variation och vill tjäna extra pengar? Vi söker dig som vill jobba inom bemanning – där ingen dag är den andra lik!

Hos oss kan du få uppdrag som t.ex.:
 • Servitör/servitris på event eller restaurang
 • Lagerarbete och paketering
 • Bud- och leveransuppdrag
 • Värd/värdinna vid mässor
 • Enkla kundtjänst- eller butikspass

Vi erbjuder:
 • Flexibla arbetstider – välj själv när du kan jobba
 • Möjlighet till snabba extrajobb
 • Ständig variation och nya erfarenheter
 • Perfekt för dig som pluggar, jobbar deltid eller söker något vid sidan om

Vi söker dig som:
 • Är pålitlig, serviceinriktad och positiv
 • Gillar att ta i och är inte rädd för att testa nytt
 • Har erfarenhet? Toppen! Men det är inget krav – vi lär dig gärna

Låter det som något för dig? Skicka in din ansökan idag så hör vi av oss!",https://www.linkedin.com/jobs/search/?currentJobId=4221150989&keywords=&location=Sweden&start=0
Translator - Swedish,Testronic,Sweden,1 week ago,90 applicants,"Remote Contract Associate
Skills: Translation, Text, +8 more","About the job
Currently, Testronic Translation Department is looking for an English into Swedish who will:
Translate video games both full-titles (sometimes shared with other translators) and game updates. 
Additionally, translate marketing texts and materials from our clients and you would be responsible for translating them.
Proofread and edit other translators' work to ensure the text is of the best quality.


Requirements

A Native speaker or native related of Swedish who is also a language enthusiast, passionate about linguistic and cultural nuances.
Fluent knowledge of English.
Minimum 6 months of translation experience.
Freelance registration and ability to provide invoices.
Translation experience in the gaming/filming industry will be beneficial.


Benefits

Independent and project-based job (Typical Freelancing Contract).
Decent translation rates.
Opportunity to work remotely, from any place (however, please note our Localization Team works in the CET time zone).
Needed tools (CAT tool license for Memsource for our projects).
Informal and casual environment with a friendly attitude and support.
If you are interested in the gaming industry willing to be a part of it, and you are searching for new opportunities for yourself, then you are the perfect match!",https://www.linkedin.com/jobs/search/?currentJobId=4278930881&keywords=&location=Sweden&start=0
"Restaurangmedarbetare , Malmö",Holy Greens,"Malmo, Skåne County, Sweden",1 week ago,36 people clicked apply,"On-site Full-time Entry level
Skills: Operations Management","About the job
Har du energi, tycker om att ta initiativ och är ansvarstagande? Häng med på vår resa mot en mer hållbar och hälsosam värld!

Vi erbjuder:

Programmet ”Växa och Gro” som ger dig möjlighet att utvecklas inom företaget.
Kollektivavtal – för att säkerställa schyssta arbetsvillkor.
En rolig arbetsplats med fantastiska kollegor.
Friskvård.

Ansök idag. Vi ser fram emot att träffa dig!

ÖVRIG INFORMATION

Anställningsgrad: vi söker allt ifrån behovsanställda till fast anställda med mellan 25-90% anställningsgrad

Plats: Malmö

Lön: Timlön - vi är anslutna till Visita och följer kollektivavtal

Förmåner: Friskvårdsbidrag, förmånlig personallunch, sociala aktiviteter och trevligaste kollegorna.

Vi håller intervjuer löpande och tjänsten kan komma att bli tilsatt innan sista ansökningsdatum.",https://www.linkedin.com/jobs/search/?currentJobId=4273249308&keywords=&location=Sweden&start=0
Healthcare Assistant - No Experience Needed - Work In Ireland - Paid Relocation,Mercier Consultancy Bulgaria,Sweden,3 weeks ago,Over 100 applicants,"€28K/yr - €30K/yr Remote Full-time Entry level
Skills: Patient Care, Attention to Details, +8 more","About the job
Mercier Consultancy BG is excited to offer a unique opportunity for aspiring Healthcare Assistants looking to launch their careers in Ireland. This role is perfect for individuals with no prior experience, as we provide comprehensive training and support. Additionally, we offer a paid relocation package to facilitate your move to Ireland. As a Healthcare Assistant, you will be integral in providing compassionate care and support to patients in various settings.

Key Responsibilities:

Assist patients with daily activities such as personal hygiene, dressing, and eating
Offer emotional support and companionship to promote patients' wellbeing
Maintain a clean and safe living environment in accordance with healthcare standards
Monitor patient conditions and report any changes to the nursing team
Engage patients in social and recreational activities to enhance their quality of life
Support the nursing staff with their daily tasks to ensure high-quality care
Participate in training sessions to develop your skills and understanding of patient care

Requirements

No prior experience is necessary; we are seeking motivated individuals eager to learn
Fluency in English is essential for effective communication with colleagues and patients
A caring and compassionate attitude is crucial for providing excellent patient care
Ability to work collaboratively in a team; independent work ethic is also important
Strong attention to detail and good organizational skills are required
Willingness to adhere to healthcare policies and procedures
Openness to relocating to Ireland and exploring a new cultural experience

Benefits

Competitive salary (€28,000-€30,000 depending on experience and location)
Paid training and ongoing career development
Full-time guaranteed contracts
Free uniform and parking
Flight fares paid
Cycle to work scheme
Employee assistance and wellbeing program
Supportive, friendly working environments and a warm Irish welcome 
Relocation assistance to help candidates settle comfortably in Ireland 
Help with identifying job opportunities for accompanying family members",https://www.linkedin.com/jobs/search/?currentJobId=4269101191&keywords=&location=Sweden&start=0
Spontanansökan,Skåne Stadsmission,"Malmo, Skåne County, Sweden",1 week ago,36 people clicked apply,"On-site Contract
Skills: AV, Operations Management","About the job
Skåne Stadsmission gör varje dag skillnad för människor som lever i utsatta livssituationer genom innovativt och professionellt socialt arbete. Stadsmissionens värdegrund sätter den enskilda människan i fokus och ambitionen är att deltagarna ska få ökad livskvalitet och egenmakt. För Stadsmissionens medarbetare står alltid mänskliga rättigheter i fokus. Tillsammans skapar vi ett medmänskligare Skåne.

Vill du vara med?

Skåne Stadsmission bildades 1916 och är en fristående, idéburen organisation som driver professionell, social verksamhet för människor i hemlöshet, beroendeproblematik och annan social utsatthet.

Organisationen finns på tre orter i Skåne: Malmö, Kristianstad och Helsingborg. De olika verksamheterna vänder sig både till kvinnor och män, unga som äldre.

Det dagliga arbetet spänner från akut nödhjälp till strukturerat förändringsarbete för individen. Arbetet, som utförs av utbildad och erfaren personal, utgår alltid från ett helhetsperspektiv och har den enskilda människans behov i fokus.

Skåne Stadsmission arbetar också med förändring även i ett större sammanhang, genom att belysa orättvisor och skapa opinion där vi ser att det finns behov. Det handlar då främst om att öka medvetenheten om människors utsatthet och livsvillkor och därmed även skapa och kanalisera engagemang i samhället.

Vi lägger löpande ut vakanta tjänster. Finner du inga lediga tjänster som passar dig? Då är du varmt välkommen att skicka in en spontanansökan!",https://www.linkedin.com/jobs/search/?currentJobId=4278729231&keywords=&location=Sweden&start=0
Lokalvårdare (75 %) till Serviceenheten,Länsstyrelsen Uppsala Län,"Uppsala, Uppsala County, Sweden",2 weeks ago,10 people clicked apply,"Part-time Associate
Skills: Housekeeping, Public Sector, +8 more","About the job
Vill du vara en av oss och hjälpa till med att bidra till en god arbetsmiljö för våra medarbetare genom att hålla våra lokaler rena och välvårdade?

Vill du också vara en del i vårt team där vi sätter Laget före Jaget, då är du den vi söker.

Serviceenheten

Vår enhet består av ett tiotal medarbetare med olika arbetsuppgifter och roller. Vi ger råd och stöd till våra medarbetare och besökare. Vår enhet jobbar nära varandra och har kontinuerliga uppföljningsmöten kring den löpande verksamheten. Den filosofi vi arbetar efter är att varje medarbetares insats är lika viktig och också en förutsättning för att vår enhet ska vara just ’en’ enhet. Ett av våra mål är att det ska vara en positiv upplevelse att komma till jobbet.

2026 står vi inför en spännande framtid då vi under året ska byta lokaler och arbetsuppgifterna kan därför komma att förändras utifrån den nya lokalens förutsättningar.

Anledningen till att vi söker en ny kollega är att en av våra lokalvårdare ska flytta utomlands så vi behöver nu rekrytera en ersättare och hoppas att vi hittar dig genom denna annons.

Arbetsuppgifter

Arbetsuppgifterna är tydligt schemalagda men kan variera beroende på vad som sker i verksamheten över tid.

Tjänsten omfattar vanligt förekommande arbetsuppgifter inom lokalvård för kontorslokaler och ingår gör exempelvis:

 Daglig städning av kontorslokaler, pentryn, matsal och kök.
 Daglig städning av övriga allmänna utrymmen.
 Golvvård, damning, och avfallshantering.
 Rapportering av felanmälningar.
 Ansvar för rengöringsprodukter och utrustning.
 Påfyllning av förbrukningsmaterial.
 Rengöring kaffemaskiner.
 Städning av vissa specifika utrymmen.
 Städning kan vara aktuell i flera av Länsstyrelsens lokaler.


Kvalifikationer

Vi söker dig som har

 minst fem års erfarenhet av arbete inom lokalvård i kontorsmiljöer.
 erfarenhet av arbete med lokalvård inom offentlig sektor.
 god förmåga att uttrycka dig muntligt och skriftligt.
 möjlighet att vara flexibel gällande arbetstider.


Det är meriterande med städutbildning, t.ex. SRY eller PRYL.

Du är serviceinriktad, lojal, strukturerad och har en god samarbetsförmåga. Du ska också vara självgående i ditt dagliga arbete samtidigt som du ser dig själv som en del i vårt team. Vi lägger stor vikt vid de personliga egenskaperna.

Villkor

Anställningen gäller tillsvidare och inleds med sex månaders provanställning med tillträde 2025-11-01. Anställningens omfattning är 75 %. Säkerhetsprövning med registerkontroll genomförs enligt säkerhetsskyddslagen (2018:585) innan beslut om anställning fattas. I vissa fall krävs svenskt medborgarskap.

Övrigt

Som anställd i staten förväntas du dela den statliga värdegrunden och bidra till att utveckla en god förvaltningskultur, präglad av demokrati, mänskliga rättigheter och rättssäkerhet, effektivitet och tillgänglighet.

Länsstyrelsen arbetar aktivt för att vara en myndighet fri från diskriminering och tar tillvara de kvalitéer som mångfald tillför verksamheten.

Länsstyrelsen är regeringens representant i länet och arbetar för att främja Uppsala läns utveckling. Vi verkar som en samlande kraft för länet och har verksamhet inom samhällsplanering, lantbruk och landsbygd, krisberedskap, miljö och natur, sociala frågor, kulturmiljö, klimat och energi och allmän förvaltning. I dessa verksamheter har vi i vår ärendehantering ett ansvar att väga olika sakintressen mot varandra. Vi arbetar för att nationella mål ska få genomslag och samordnar olika samhällsintressen samt främjar samverkan mellan olika aktörer i länet. Vi ger bidrag och stöd till olika verksamheter och ser till att lagar och riktlinjer följs.

På länsstyrelsen i Uppsala län arbetar cirka 220 personer. Landshövdingen är chef för länsstyrelsen. Vi är en arbetsplats som präglas av kunskap, öppenhet och engagemang.

Välkommen med din ansökan!

Anställningsform: tillsvidareanställning | Anställningens omfattning: deltid | Antal lediga befattningar: 1 | Sysselsättningsgrad: 75 % | Ort: Uppsala | Län: Uppsala län | Land: Sweden | Referensnummer: 112-5883-25 | Kontakt: Mikael Jonsson, tf. enhetschef 010-2233451, | Facklig företrädare: Lena Jonsson, ST 010-2233288, Carin Eriksson, Saco-S 010-2233272, | Publicerat: 2025-07-24 | Sista ansökningsdag: 2025-08-10",https://www.linkedin.com/jobs/search/?currentJobId=4269641192&keywords=&location=Sweden&start=0
Receptionist på deltid,ISS Sweden,"Stockholm, Stockholm County, Sweden",1 week ago,58 people clicked apply,"On-site Full-time Entry level
Skills: Fax, Office Equipment, +8 more","About the job
ISS är ett av världens största tjänsteföretag och snart firar vi 80 år i Sverige! Med över 6500 medarbetare i landet, från norr till söder, levererar vi service som gör skillnad. Vi erbjuder våra kunder allt från städning till teknisk service, mat- och arbetsplatstjänster. Vi skapar arbetsplatser där människor trivs, företag växer och där hållbarhet är en självklarhet – socialt, miljömässigt och affärsmässigt. Våra medarbetare är hjärtat i det vi gör – och avgörande för att våra kunder ska känna sig trygga, sedda – och för att deras arbetsplatser ska blomstra.

Vi på ISS söker en engagerad och driven receptionist med goda kunskaper i engelska i både tal och skrift. Uppdraget är hos ISS kund i Solna och tjänsten är på deltid, ca 50% . Arbetstiden är förlagd mellan 12.00-16.30 på vardagar. 

Vill du vara med och leverera service i världsklass? Då tycker vi att du ska söka vår tjänst som Receptionist till ISS Kund i Solna.

Om rollen

I rollen som receptionist blir du kundens ansikte utåt och får därmed en mycket viktig roll i att skapa en positiv stämning och en bra upplevelse på arbetsplatsen. Med din starka känsla för service bidrar du till att göra vår kunds arbetsdag bekymmersfri och leverera service i världsklass!

Som receptionist arbetar du framför allt med administrativa arbetsuppgifter. Vi lägger stor vikt vid ditt personliga och prestigelösa engagemang samt din förmåga att uppmärksamma och lösa uppkomna situationer. För rollen är det mycket viktigt att du har goda kunskaper i det engelska språket och en god samarbetsförmåga då vi arbetar som ett team i receptionen.

I Arbetsuppgifterna Ingår Bland Annat

Hantering av kundens fakturor
Ta emot besökare
Post och- godshantering, hantering av in- och utgående paket samt beställning av kontorsmaterial och hjälpmedel
Administration och felanmälan
Tillsyn av mötesrum, konferensutrustning, skrivare och övrig kontorsutrustning.
Bokning av flygresor och hotell
Taxibokningar
Beställning av passerkort
Vara behjälplig vid interna & externa konferenser

Uppdraget bedrivs inom ramen för en integrerad servicelösning där du utöver dina ansvarsområden förväntas vara behjälplig med andra områden inom verksamhetsservice. Vi söker dig som är prestigelös och som uppskattar ett omväxlande arbete.

Tjänsten är på deltid och vi erbjuder en tillsvidareanställning med en inledande provanställning i sex månader. Placeringsort för tjänsten är Stockholm.

Vi erbjuder

Du kommer att arbeta nära kompetenta medarbetare som du kommer få stort utbyte av, då vi värnar om att hjälpa och utveckla varandra. ISS storlek och breda tjänsteutbud bidrar till att det finns goda utvecklingsmöjligheter såväl nationellt som globalt. Vårt fokus ligger i att ta hand om och utveckla våra medarbetare, för vi tror på att ”People make places”. ISS erbjuder bland annat utbildningar och talangprogram – allt för att du ska engageras och utvecklas på jobbet.

Vi värderar mångfald och inkludering högt. Hos ISS är alla människor lika mycket värda och har samma rättigheter och möjligheter. Våra medarbetare speglar samhällets mångfald, vilket både är en konkurrensfördel och en tillgång i vårt långsiktiga hållbara arbete. Vår inkluderande företagskultur stärker våra medarbetare, gör oss mer kreativa och produktiva samt skapar en attraktivare arbetsplats.

ISS värderingar, som är fundamentala i hur vi arbetar, är kvalitet, ansvar, ärlighet, entreprenörskap och gemenskap. Därför är det viktigt att du känner att du står för ett arbetssätt och ett förhållningssätt som är i enlighet med dessa.

Därutöver erbjuder vi en varierande och spännande roll där ditt arbete kommer vara viktigt i ISS framgång på kontraktet och i att hjälpa vår kund att nå sina mål inom Facility Management.

Vem söker vi?

Vi söker dig som har erfarenhet från något eller några av dessa yrken: reception, administration/telefoni, kontorsservice eller annat yrke med högt ställda servicekrav. Därutöver har du datorvana och gymnasieutbildning.

Som person är du serviceinriktad, lyhörd, ansvarsfull och initiativtagande. Du trivs i rollen som företagsrepresentant och delar ISS vilja att leverera service i världsklass. Du har en god kommunikativ förmåga och kommunicerar obehindrat på svenska och engelska i såväl tal som skrift.

Din ansökan

Rekrytering sker löpande och tjänsten kan tillsättas innan sista ansökningsdatum 2025-08-30. Har du frågor vänligen kontakta rekryterande chef Sofie Tärnrot, e-post: sofie.tarnrot@se.issworld.com

Obs! Vi tar inte emot ansökningar via e-mail eller brev, enbart via registrering i vårt rekryteringssystem. Ansökningar via e-mail eller brev kommer att makuleras obehandlade.

Varmt välkommen med din ansökan!",https://www.linkedin.com/jobs/search/?currentJobId=4278377554&keywords=&location=Sweden&start=0
Junior legal Assistant,Bird & Bird,"Stockholm, Stockholm County, Sweden",3 weeks ago,Over 100 people clicked apply,"On-site Full-time Entry level
Skills: Administrative Assistance","About the job
Bird & Bird är en internationell advokatbyrå med 33 kontor i 23 länder runt om i världen. Vår vision är att vara den ledande internationella advokatbyrån i en värld som formas av teknik, innovation, och ledande i förändringen av juridiska tjänster.

Har du precis tagit studenten och är nyfiken på hur det är att arbeta på en internationell advokatbyrå i framkant? Vill du göra något meningsfullt och utvecklande innan du påbörjar vidare studier? 

Hos Bird & Bird erbjuder vi dig som har fått upp intresset för juridik under gymnasiet en unik möjlighet att få en inblick i affärsjuridikens värld. Som Junior Legal Assistant blir du en del av vårt team och får arbeta nära våra jurister i en dynamisk och lärorik miljö. Rollen passar dig som är nyfiken, ansvarstagande och vill samla värdefull erfarenhet inför framtida studier inom juridik eller andra områden.

Det här är en chans att under ett år få en verklig känsla för hur det är att arbeta på en global byrå där innovation, samarbete och klientfokus står i centrum.

Vad erbjuder vi dig?
Som Junior Legal Assistant hos Bird & Bird får du chansen att utvecklas inom en internationell affärsjuridisk advokatbyrå. Du kommer att få inblick i spännande projekt genom att bistå våra jurister med administrativ support. Arbetsuppgifter kan exempelvis vara:
Hantera juridiska dokument, i fysisk och digital form, exempelvis formatering, utskrifter, upp- och nedladdning i datarum
Klientregistrering och ärendehantering
Korrekturläsning, utformning och granskning av dokument och avtal
Textredigering och översättning
Genomföra enkla rättsliga undersökningar och juridisk forskning
Kontakter med bl.a. myndigheter, domstolar och klienter
Arkivering
Formatera dokument och assistera med större kopierings- och skanningsprojekt
Vid behov stötta i reception med att välkomna klienter och ansvara för mötesbokningar
Vara behjälplig vid interna och externa event

Tjänsten innebär en heltidsanställning på visstid för en period av 12 månader, med möjlighet till förlängning. Startdatum i mitten av augusti.

Vem är du?
För att trivas i rollen som Junior Legal Assistant hos oss tror vi att du har ett intresse för administration och en naturlig känsla för ordning och struktur. Du är ansvarstagande, noggrann och har lätt för att ta egna initiativ. Vi söker dig som är serviceinriktad, har en god kommunikativ förmåga och som gärna tar ägandeskap för dina uppgifter från start till mål. Vi värderar noggrannhet högt, samtidigt som det är viktigt att du kan leverera arbete med hög kvalitet även i ett högt tempo.

Du uttrycker dig obehindrat på både svenska och engelska, i såväl tal som skrift, och har goda studieresultat. Tidigare arbetslivserfarenhet är inget krav – det viktigaste är att du har rätt inställning, en vilja att utvecklas och ett genuint engagemang. Goda kunskaper i Officepaketet är önskvärt, men framför allt värdesätter vi en positiv attityd och en stark vilja att lära.

Ansökan
Ta chansen att påbörja en meningsfull karriär tillsammans med oss. Skicka ditt CV, personliga brev, gymnasiebetyg och andra handlingar du vill åberopa, för att ansöka.

På Bird & Bird värdesätter vi en arbetsplats där mångfald och inkludering är centrala. Vi erbjuder en stödjande och professionell miljö och välkomnar sökande med olika bakgrunder. För att säkerställa en rättvis och opartisk urvalsprocess, ber vi dig att inte bifoga ett fotografi i din ansökan.

Vi tillämpar bakgrundskontroller i alla våra rekryteringsprocesser.
Intervjuer och urval sker löpande.

Vi ser fram emot att få din ansökan och hoppas att du vill bli en del av vårt team.

För frågor kring processen, kontakta ansvarig rekryterare Elinor Wadenholt, elinor.wadenholt@twobirds.com",https://www.linkedin.com/jobs/search/?currentJobId=4266954276&keywords=&location=Sweden&start=0
Hovmästare till Pinchos Uppsala på 20-30h/vecka,Pincho Nation,"Uppsala, Uppsala County, Sweden",3 weeks ago,3 people clicked apply,"On-site Full-time Entry level
Skills: Food & Beverage, Catering Service, +8 more","About the job
Just nu söker vi Hovmästare/servicepersonal

Hos oss på Pinchos lever och utvecklas våra värderingar och vårt engagemang i varje medarbetare. Därför är det viktigt att hitta fina människor som passar in i just vår kultur och i vår restaurangmiljö för när alla trivs och mår bra så fungerar även jobbet bättre!

Alla ska känna sig välkomna till Pinchos och som hovmästare har du därför en mycket viktig roll. Du är den första personen våra gäster möter och du sätter prägeln för hela kvällen. Din personlighet blir därför ditt viktigaste redskap! Vi letar efter någon som på ett naturligt och avslappnat sätt sprider glädje och positivitet omkring sig.

Rollen innebär ett ansvar för kvällen, där kommunikation med restaurangens alla olika stationer är otroligt viktig för att servicen ska bli så lyckad som möjlig både för våra gäster men också för alla medarbetare. Det kommer krävas att du kan arbeta självständigt, under högt tempo och se till att alltid ligga steget före i din planering för kvällen. Du förväntas vara lyhörd för gästers önskemål och sätta stor stolthet i att varje gäst lämnar med ett stort leende på läpparna.

Du kommer få förklara vårt koncept och vår unika app, lära dig vårt bokningssystem, vår meny, hålla rent och fint och såklart ha roligt - både med våra gäster och med dina härliga kollegor!

Tjänsten kommer att vara på 4-5 dagar i veckan, vi ser gärna att det inte är något problem med att jobba helger då det kommer att vara där majoriteten av timmarna jobbas.

Vilka är vi?

På Pinchos tror vi på att leverera en WOW-upplevelse både till våra kunder men också till våra anställda. Vi uppmuntrar alla anställda att vara sig själva, och att just din unika personlighet tillsammans med alla andras är det som utgör Pinchos personlighet!

Pinchos är ett restaurangkoncept baserat på en svensk originalidé från Göteborg 2012. Huvudkontoret är tillika etablerat i Göteborg. Förutom att erbjuda ett brett, varierat utbud av smårätter i lokaler med extravagant dekor utmärker sig Pinchos också genom att vara världens första app-restaurang. Sedan starten har våra gäster tagit både oss, vår app och vår mat till sina hjärtan. 2014 öppnades konceptet upp för franchisetagare och 2017 startades en internationell etablering. I dagsläget har kedjan över 70 restauranger och expanderar stadigt.

Vi kan erbjuda dig

Ett härligt team att arbeta tillsammans med
Ett innovativt koncept 
En möjlighet att utvecklas och växa med oss 
Att genom våra gäster få uppleva stunder i livet som är värda att fira!
En välkomnande och rolig arbetsplats 

För att passa bra hos oss tror vi att du

Kan Svenska och Engelska flytande
Trivs att jobba mot uppsatta mål 
På ett naturligt sätt ger våra gäster ett varmt bemötande
Sprider positiv energi omkring dig 
Trivs med att jobba i ett högt tempo
Har ett öga för detaljer

Låter det som något för dig? Skynda dig att söka!",https://www.linkedin.com/jobs/search/?currentJobId=4265890454&keywords=&location=Sweden&start=0
Recepionist,JLL,Greater Stockholm Metropolitan Area,2 weeks ago,Over 100 people clicked apply,"On-site Full-time Entry level
Skills: Office equipment, reception desk, +8 more","About the job
Key Responsibilities

Customer Service

Greet, assist and direct candidates, new hires, visitors, and the general public
Handle telephone, email, and other queries professionally
Administer parking spaces for visitors and employees
Arrange taxis for client staff and visitors as requested
Book onsite meeting rooms and organize hospitality according to site procedures
Register and distribute documents per local procedures
Coordinate local events and travel arrangements as required
Perform additional administrative tasks as needed

HSE, Security & Quality

Liaise with site managing agent and security personnel
Maintain high level of security awareness and knowledge of emergency procedures
Issue ID and access badges for new hires/vendors/visitors and maintain accurate records
Monitor and maintain office and badge consumables within agreed stock levels
Maintain security sign-in protocols
Conduct site inductions for new starters and provide first-line support for concerns
Actively support JLL's Quality Management program

Site Operations

Conduct daily meeting room and office checks
Prepare and serve refreshments, manage catering setup and clearance
Manage all Facilities helpdesk requests and liaise with service providers
Handle incoming and outgoing mail according to established procedures
Assist in coordinating repairs and maintenance of office equipment
Manage office supplies ordering process
Maintain accurate and updated seating plans
Ensure detailed handover for responsibilities during absences

What You'll Receive

Employment contract
Competitive benefits package including Benefit Systems, private healthcare, and life insurance
Opportunity to work in a professional, stimulating, and challenging multinational environment
Clear long-term career progression opportunities
Freedom to demonstrate your own initiatives
Access to comprehensive training and development programs
Friendly and supportive company culture",https://www.linkedin.com/jobs/search/?currentJobId=4275621797&keywords=&location=Sweden&start=0
